"istosmjerni izvori -  naponski"	"istosmjerni izvori - strujni"	"strujni izvor u naponski"	"realni istosmjerni izvori"	"Ohmov zakon"	"UI karakteristika"	"nelinearni elementi"	"paralelni spoj otpornika"	"serijski spoj otpornika"	"paralelni spoj kondenzatora"	"serijski spoj kondenzatora"	"strujni izvor u naponski"	"istosmjerne mreže otpornika"	"istosmjerne mreže kondenzatora"	"QUC"	"snaga u istosmjernih krugovima"	"Coulombov zakon"	"elektrièno polje"	"sila na naboj"	"elektrièni potencijal"	"rad i energija elektriènog polja"	"rad i energija magnetskog polja"	"magnetska polje vodièa"	"magnetska indukcija"	"meðuindukcija"	"idealni mjerni instrumenti"	"Kirchoffovi zakoni"	"mreže - odreðivanje potencijala èvorova"	"mreže - superpozicija"	"trokut zvijezda"	"izmjenièni izvori"	"impedancije i admitancije"	"efektivna vrijednost"	"izmjeniène mreže"	"serijski spoj izmjeniènih elemenata"	"paralelni spoj izmjeniènih elemenata"	"vektorski dijagrami"	"fazori"	"topografski dijagram potencijala"	"maksimalni prijenos snage"	"snaga u izmjeniènim krugovima"	"Thevenin / Norton"	"rezonantna frekvencija"	"serijski RLC"	"paralelni RLC"
d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d

1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0
1	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
